time	V(in)	V(out)	abs(V(out)/V(in))
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.657142753711795e-008	1.530573e-005	-2.586943e-005	1.690179e+000
7.314285507423590e-008	3.060594e-005	-6.885179e-005	2.249621e+000
1.097142826113539e-007	4.590064e-005	-1.289471e-004	2.809266e+000
1.462857101484718e-007	6.118981e-005	-2.061553e-004	3.369112e+000
1.828571376855897e-007	7.647346e-005	-3.004765e-004	3.929160e+000
2.194285652227077e-007	9.175159e-005	-4.119105e-004	4.489410e+000
2.559999927598256e-007	1.070242e-004	-5.404575e-004	5.049863e+000
5.119999855196511e-007	2.139215e-004	-1.473167e-003	6.886485e+000
1.023999971039302e-006	4.276440e-004	-3.550838e-003	8.303257e+000
5.558856985641928e-006	2.324185e-003	-2.251272e-002	9.686288e+000
1.009371400024455e-005	4.210923e-003	-4.137823e-002	9.826405e+000
1.462857101484718e-005	6.087858e-003	-6.014736e-002	9.879889e+000
1.916342802944980e-005	7.954990e-003	-7.882010e-002	9.908259e+000
2.369828504405243e-005	9.812319e-003	-9.739646e-002	9.925937e+000
2.823314205865505e-005	1.165984e-002	-1.158764e-001	9.938078e+000
3.276799907325767e-005	1.349757e-002	-1.342600e-001	9.946981e+000
6.553599814651534e-005	2.594315e-002	-2.587668e-001	9.974378e+000
1.310719962930307e-004	4.762864e-002	-4.757915e-001	9.989608e+000
1.684781569476229e-004	5.735951e-002	-5.732318e-001	9.993665e+000
1.944583106703057e-004	6.212510e-002	-6.209939e-001	9.995861e+000
2.134457326726036e-004	6.449610e-002	-6.447868e-001	9.997300e+000
2.292072833941195e-004	6.570341e-002	-6.569309e-001	9.998429e+000
2.449918243059244e-004	6.621066e-002	-6.620755e-001	9.999530e+000
2.631380346149100e-004	6.592989e-002	-6.593511e-001	1.000079e+001
2.863835332355947e-004	6.414958e-002	-6.416528e-001	1.000245e+001
3.240453864825723e-004	5.809159e-002	-5.812320e-001	1.000544e+001
3.839091960941366e-004	4.213638e-002	-4.218845e-001	1.001236e+001
4.734653000055523e-004	1.020212e-002	-1.026997e-001	1.006651e+001
5.738673291766619e-004	-2.834896e-002	2.828572e-001	9.977695e+000
6.324156194101673e-004	-4.811380e-002	4.806465e-001	9.989784e+000
6.693794894217151e-004	-5.755275e-002	5.751675e-001	9.993746e+000
6.951054860888621e-004	-6.222203e-002	6.219661e-001	9.995915e+000
7.139266736260293e-004	-6.454160e-002	6.452439e-001	9.997334e+000
7.298054575475720e-004	-6.573901e-002	6.572896e-001	9.998471e+000
7.451252559502712e-004	-6.621874e-002	6.621571e-001	9.999542e+000
7.631876690928203e-004	-6.592910e-002	6.593432e-001	1.000079e+001
7.864642473784881e-004	-6.414056e-002	6.415630e-001	1.000245e+001
8.241754924997681e-004	-5.806462e-002	5.809628e-001	1.000545e+001
8.841123464247744e-004	-4.207211e-002	4.212424e-001	1.001239e+001
9.737534557172241e-004	-1.009159e-002	1.015946e-001	1.006725e+001
1.074051354686776e-003	2.841651e-002	-2.835331e-001	9.977760e+000
1.132524852313981e-003	4.814595e-002	-4.809683e-001	9.989797e+000
1.169452874999479e-003	5.756839e-002	-5.753244e-001	9.993755e+000
1.195158218275495e-003	6.222988e-002	-6.220447e-001	9.995918e+000
1.213965875990060e-003	6.454529e-002	-6.452810e-001	9.997337e+000
1.229854210044309e-003	6.574187e-002	-6.573185e-001	9.998475e+000
1.245136133872827e-003	6.621940e-002	-6.621636e-001	9.999541e+000
1.263191715413628e-003	6.592903e-002	-6.593427e-001	1.000079e+001
1.286470827352134e-003	6.413982e-002	-6.415555e-001	1.000245e+001
1.324186098737578e-003	5.806242e-002	-5.809408e-001	1.000545e+001
1.384128905909219e-003	4.206687e-002	-4.211900e-001	1.001239e+001
1.473776938924981e-003	1.008258e-002	-1.015045e-001	1.006732e+001
1.574066341477082e-003	-2.842201e-002	2.835881e-001	9.977764e+000
1.632533749751015e-003	-4.814857e-002	4.809945e-001	9.989799e+000
1.669458853260524e-003	-5.756967e-002	5.753371e-001	9.993753e+000
1.695162514298112e-003	-6.223052e-002	6.220512e-001	9.995918e+000
1.713969069855156e-003	-6.454559e-002	6.452839e-001	9.997336e+000
1.729858181932467e-003	-6.574211e-002	6.573208e-001	9.998474e+000
1.745137020122611e-003	-6.621945e-002	6.621641e-001	9.999541e+000
1.763192045076216e-003	-6.592903e-002	6.593426e-001	1.000079e+001
1.786471363436712e-003	-6.413976e-002	6.415550e-001	1.000245e+001
1.824186962848831e-003	-5.806224e-002	5.809390e-001	1.000545e+001
1.884130255034503e-003	-4.206644e-002	4.211858e-001	1.001239e+001
1.973778852100473e-003	-1.008185e-002	1.014972e-001	1.006732e+001
2.074067562381463e-003	2.842246e-002	-2.835926e-001	9.977766e+000
2.132534474594991e-003	4.814878e-002	-4.809966e-001	9.989798e+000
2.169459340293961e-003	5.756978e-002	-5.753382e-001	9.993754e+000
2.195162864285690e-003	6.223057e-002	-6.220517e-001	9.995917e+000
2.213969330053029e-003	6.454561e-002	-6.452842e-001	9.997337e+000
2.229858505514087e-003	6.574213e-002	-6.573210e-001	9.998474e+000
2.245137092323708e-003	6.621946e-002	-6.621642e-001	9.999541e+000
2.263192071933201e-003	6.592903e-002	-6.593426e-001	1.000079e+001
2.286471407110503e-003	6.413976e-002	-6.415550e-001	1.000245e+001
2.324187033246320e-003	5.806223e-002	-5.809389e-001	1.000545e+001
2.384130364945098e-003	4.206641e-002	-4.211854e-001	1.001239e+001
2.473779007962898e-003	1.008179e-002	-1.014966e-001	1.006732e+001
2.574067661845547e-003	-2.842250e-002	2.835930e-001	9.977765e+000
2.632534533646324e-003	-4.814880e-002	4.809968e-001	9.989799e+000
2.669459379971461e-003	-5.756978e-002	5.753382e-001	9.993754e+000
2.695162892798389e-003	-6.223058e-002	6.220518e-001	9.995919e+000
2.713969351250767e-003	-6.454561e-002	6.452842e-001	9.997337e+000
2.729858531875555e-003	-6.574213e-002	6.573210e-001	9.998475e+000
2.745137098205770e-003	-6.621946e-002	6.621642e-001	9.999541e+000
2.763192074121180e-003	-6.592903e-002	6.593426e-001	1.000079e+001
2.786471410668510e-003	-6.413975e-002	6.415550e-001	1.000245e+001
2.824187038981445e-003	-5.806223e-002	5.809389e-001	1.000545e+001
2.884130373899267e-003	-4.206640e-002	4.211854e-001	1.001239e+001
2.973779020660659e-003	-1.008178e-002	1.014965e-001	1.006732e+001
3.074067669948658e-003	2.842250e-002	-2.835930e-001	9.977765e+000
3.132534538457101e-003	4.814880e-002	-4.809968e-001	9.989799e+000
3.169459383203897e-003	5.756978e-002	-5.753382e-001	9.993754e+000
3.195162895121254e-003	6.223058e-002	-6.220517e-001	9.995917e+000
3.213969352977699e-003	6.454562e-002	-6.452842e-001	9.997336e+000
3.229858534023165e-003	6.574213e-002	-6.573210e-001	9.998475e+000
3.245137098684969e-003	6.621946e-002	-6.621642e-001	9.999541e+000
3.263192074299429e-003	6.592903e-002	-6.593426e-001	1.000079e+001
3.286471410958372e-003	6.413976e-002	-6.415550e-001	1.000245e+001
3.324187039448673e-003	5.806223e-002	-5.809389e-001	1.000545e+001
3.384130374628743e-003	4.206640e-002	-4.211854e-001	1.001239e+001
3.473779021695116e-003	1.008178e-002	-1.014965e-001	1.006732e+001
3.574067670608800e-003	-2.842250e-002	2.835930e-001	9.977765e+000
3.632534538849024e-003	-4.814880e-002	4.809968e-001	9.989799e+000
3.669459383467236e-003	-5.756979e-002	5.753382e-001	9.993753e+000
3.695162895310492e-003	-6.223058e-002	6.220517e-001	9.995917e+000
3.713969353118388e-003	-6.454562e-002	6.452842e-001	9.997336e+000
3.729858534198126e-003	-6.574213e-002	6.573210e-001	9.998475e+000
3.745137098724008e-003	-6.621946e-002	6.621642e-001	9.999541e+000
3.763192074313951e-003	-6.592903e-002	6.593426e-001	1.000079e+001
3.786471410981986e-003	-6.413975e-002	6.415550e-001	1.000245e+001
3.824187039486737e-003	-5.806223e-002	5.809389e-001	1.000545e+001
3.884130374688172e-003	-4.206640e-002	4.211854e-001	1.001239e+001
3.973779021779391e-003	-1.008178e-002	1.014965e-001	1.006732e+001
4.074067670662581e-003	2.842250e-002	-2.835930e-001	9.977765e+000
4.132534538880953e-003	4.814880e-002	-4.809968e-001	9.989799e+000
4.169459383488690e-003	5.756978e-002	-5.753382e-001	9.993754e+000
4.195162895325909e-003	6.223058e-002	-6.220518e-001	9.995918e+000
4.213969353129851e-003	6.454562e-002	-6.452843e-001	9.997337e+000
4.229858534212380e-003	6.574213e-002	-6.573210e-001	9.998475e+000
4.245137098727188e-003	6.621946e-002	-6.621642e-001	9.999541e+000
4.263192074315134e-003	6.592903e-002	-6.593426e-001	1.000079e+001
4.286471410983910e-003	6.413975e-002	-6.415550e-001	1.000245e+001
4.324187039489838e-003	5.806223e-002	-5.809389e-001	1.000545e+001
4.384130374693013e-003	4.206640e-002	-4.211854e-001	1.001239e+001
