time	V(in)	V(out)	abs(V(out)/V(in))
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.657142753711795e-008	1.494133e-005	-2.529475e-005	1.692938e+000
7.314285507423590e-008	2.987962e-005	-6.752640e-005	2.259948e+000
1.097142826113539e-007	4.481487e-005	-1.266949e-004	2.827074e+000
1.462857101484718e-007	5.974707e-005	-2.028004e-004	3.394315e+000
1.828571376855897e-007	7.467623e-005	-2.958427e-004	3.961672e+000
2.194285652227077e-007	8.960234e-005	-4.058219e-004	4.529144e+000
2.559999927598256e-007	1.045254e-004	-5.327380e-004	5.096732e+000
5.119999855196511e-007	2.089800e-004	-1.457048e-003	6.972188e+000
1.023999971039302e-006	4.178469e-004	-3.522120e-003	8.429213e+000
5.558856985641928e-006	2.271366e-003	-2.239659e-002	9.860408e+000
1.009371400024455e-005	4.115304e-003	-4.117526e-002	1.000540e+001
1.462857101484718e-005	5.949663e-003	-5.985811e-002	1.006076e+001
1.916342802944980e-005	7.774440e-003	-7.844516e-002	1.009014e+001
2.369828504405243e-005	9.589638e-003	-9.693640e-002	1.010845e+001
2.823314205865505e-005	1.139525e-002	-1.153318e-001	1.012104e+001
3.276799907325767e-005	1.319129e-002	-1.336314e-001	1.013028e+001
6.553599814651534e-005	2.535456e-002	-2.575681e-001	1.015865e+001
1.310719962930307e-004	4.654816e-002	-4.736007e-001	1.017442e+001
1.684781569476229e-004	5.605831e-002	-5.705965e-001	1.017862e+001
1.944583106703057e-004	6.071580e-002	-6.181415e-001	1.018090e+001
2.134457326726036e-004	6.303303e-002	-6.418268e-001	1.018239e+001
2.292072833941195e-004	6.421297e-002	-6.539165e-001	1.018356e+001
2.449918243059244e-004	6.470872e-002	-6.590388e-001	1.018470e+001
2.631380346149100e-004	6.443433e-002	-6.563283e-001	1.018600e+001
2.863835332355947e-004	6.269442e-002	-6.387131e-001	1.018772e+001
3.240453864825723e-004	5.677387e-002	-5.785723e-001	1.019082e+001
3.839091960941366e-004	4.118062e-002	-4.199592e-001	1.019798e+001
4.734653000055523e-004	9.970789e-003	-1.022410e-001	1.025406e+001
5.738673291766619e-004	-2.770580e-002	2.815487e-001	1.016209e+001
6.324156194101673e-004	-4.702231e-002	4.784334e-001	1.017461e+001
6.693794894217151e-004	-5.624716e-002	5.725234e-001	1.017871e+001
6.951054860888621e-004	-6.081054e-002	6.191093e-001	1.018095e+001
7.139266736260293e-004	-6.307750e-002	6.422818e-001	1.018242e+001
7.298054575475720e-004	-6.424776e-002	6.542736e-001	1.018360e+001
7.451252559502712e-004	-6.471662e-002	6.591199e-001	1.018471e+001
7.631876690928203e-004	-6.443355e-002	6.563206e-001	1.018601e+001
7.864642473784881e-004	-6.268559e-002	6.386237e-001	1.018773e+001
8.241754924997681e-004	-5.674751e-002	5.783043e-001	1.019083e+001
8.841123464247744e-004	-4.111781e-002	4.193201e-001	1.019802e+001
9.737534557172241e-004	-9.862760e-003	1.011410e-001	1.025483e+001
1.074051354686776e-003	2.777182e-002	-2.822215e-001	1.016215e+001
1.132524852313981e-003	4.705373e-002	-4.787537e-001	1.017462e+001
1.169452874999479e-003	5.626245e-002	-5.726796e-001	1.017872e+001
1.195158218275495e-003	6.081821e-002	-6.191876e-001	1.018096e+001
1.213965875990060e-003	6.308111e-002	-6.423188e-001	1.018243e+001
1.229854210044309e-003	6.425056e-002	-6.543023e-001	1.018360e+001
1.245136133872827e-003	6.471726e-002	-6.591265e-001	1.018471e+001
1.263191715413628e-003	6.443349e-002	-6.563200e-001	1.018601e+001
1.286470827352134e-003	6.268488e-002	-6.386164e-001	1.018773e+001
1.324186098737578e-003	5.674536e-002	-5.782825e-001	1.019083e+001
1.384128905909219e-003	4.111268e-002	-4.192679e-001	1.019802e+001
1.473776938924981e-003	9.853955e-003	-1.010513e-001	1.025490e+001
1.574066341477082e-003	-2.777719e-002	2.822762e-001	1.016216e+001
1.632533749751015e-003	-4.705629e-002	4.787799e-001	1.017462e+001
1.669458853260524e-003	-5.626370e-002	5.726922e-001	1.017872e+001
1.695162514298112e-003	-6.081883e-002	6.191940e-001	1.018096e+001
1.713969069855156e-003	-6.308140e-002	6.423217e-001	1.018243e+001
1.729858181932467e-003	-6.425078e-002	6.543046e-001	1.018361e+001
1.745137020122611e-003	-6.471731e-002	6.591270e-001	1.018471e+001
1.763192045076216e-003	-6.443349e-002	6.563199e-001	1.018601e+001
1.786471363436712e-003	-6.268482e-002	6.386158e-001	1.018773e+001
1.824186962848831e-003	-5.674519e-002	5.782806e-001	1.019083e+001
1.884130255034503e-003	-4.111227e-002	4.192637e-001	1.019802e+001
1.973778852100473e-003	-9.853238e-003	1.010440e-001	1.025490e+001
2.074067562381463e-003	2.777763e-002	-2.822807e-001	1.016216e+001
2.132534474594991e-003	4.705650e-002	-4.787820e-001	1.017462e+001
2.169459340293961e-003	5.626380e-002	-5.726933e-001	1.017872e+001
2.195162864285690e-003	6.081888e-002	-6.191944e-001	1.018096e+001
2.213969330053029e-003	6.308142e-002	-6.423219e-001	1.018243e+001
2.229858505514087e-003	6.425080e-002	-6.543048e-001	1.018360e+001
2.245137092323708e-003	6.471732e-002	-6.591270e-001	1.018471e+001
2.263192071933201e-003	6.443349e-002	-6.563199e-001	1.018601e+001
2.286471407110503e-003	6.268481e-002	-6.386157e-001	1.018773e+001
2.324187033246320e-003	5.674517e-002	-5.782806e-001	1.019083e+001
2.384130364945098e-003	4.111223e-002	-4.192633e-001	1.019802e+001
2.473779007962898e-003	9.853179e-003	-1.010434e-001	1.025490e+001
2.574067661845547e-003	-2.777767e-002	2.822811e-001	1.016216e+001
2.632534533646324e-003	-4.705651e-002	4.787822e-001	1.017462e+001
2.669459379971461e-003	-5.626381e-002	5.726933e-001	1.017872e+001
2.695162892798389e-003	-6.081889e-002	6.191946e-001	1.018096e+001
2.713969351250767e-003	-6.308142e-002	6.423220e-001	1.018243e+001
2.729858531875555e-003	-6.425080e-002	6.543049e-001	1.018361e+001
2.745137098205770e-003	-6.471732e-002	6.591271e-001	1.018471e+001
2.763192074121180e-003	-6.443349e-002	6.563199e-001	1.018601e+001
2.786471410668510e-003	-6.268481e-002	6.386158e-001	1.018773e+001
2.824187038981445e-003	-5.674517e-002	5.782805e-001	1.019083e+001
2.884130373899267e-003	-4.111223e-002	4.192633e-001	1.019802e+001
2.973779020660659e-003	-9.853175e-003	1.010434e-001	1.025490e+001
3.074067669948658e-003	2.777767e-002	-2.822811e-001	1.016216e+001
3.132534538457101e-003	4.705651e-002	-4.787822e-001	1.017462e+001
3.169459383203897e-003	5.626381e-002	-5.726934e-001	1.017872e+001
3.195162895121254e-003	6.081889e-002	-6.191946e-001	1.018096e+001
3.213969352977699e-003	6.308142e-002	-6.423220e-001	1.018243e+001
3.229858534023165e-003	6.425080e-002	-6.543049e-001	1.018361e+001
3.245137098684969e-003	6.471732e-002	-6.591271e-001	1.018471e+001
3.263192074299429e-003	6.443349e-002	-6.563199e-001	1.018601e+001
3.286471410958372e-003	6.268481e-002	-6.386157e-001	1.018773e+001
3.324187039448673e-003	5.674517e-002	-5.782805e-001	1.019083e+001
3.384130374628743e-003	4.111223e-002	-4.192633e-001	1.019802e+001
3.473779021695116e-003	9.853174e-003	-1.010433e-001	1.025490e+001
3.574067670608800e-003	-2.777767e-002	2.822811e-001	1.016216e+001
3.632534538849024e-003	-4.705651e-002	4.787822e-001	1.017462e+001
3.669459383467236e-003	-5.626381e-002	5.726933e-001	1.017872e+001
3.695162895310492e-003	-6.081889e-002	6.191946e-001	1.018096e+001
3.713969353118388e-003	-6.308143e-002	6.423220e-001	1.018243e+001
3.729858534198126e-003	-6.425080e-002	6.543049e-001	1.018361e+001
3.745137098724008e-003	-6.471732e-002	6.591271e-001	1.018471e+001
3.763192074313951e-003	-6.443349e-002	6.563199e-001	1.018601e+001
3.786471410981986e-003	-6.268481e-002	6.386158e-001	1.018773e+001
3.824187039486737e-003	-5.674517e-002	5.782805e-001	1.019083e+001
3.884130374688172e-003	-4.111223e-002	4.192633e-001	1.019802e+001
3.973779021779391e-003	-9.853174e-003	1.010433e-001	1.025490e+001
4.074067670662581e-003	2.777767e-002	-2.822811e-001	1.016216e+001
4.132534538880953e-003	4.705651e-002	-4.787822e-001	1.017462e+001
4.169459383488690e-003	5.626381e-002	-5.726933e-001	1.017872e+001
4.195162895325909e-003	6.081889e-002	-6.191945e-001	1.018096e+001
4.213969353129851e-003	6.308142e-002	-6.423219e-001	1.018243e+001
4.229858534212380e-003	6.425080e-002	-6.543048e-001	1.018360e+001
4.245137098727188e-003	6.471732e-002	-6.591271e-001	1.018471e+001
4.263192074315134e-003	6.443349e-002	-6.563199e-001	1.018601e+001
4.286471410983910e-003	6.268481e-002	-6.386157e-001	1.018773e+001
4.324187039489838e-003	5.674517e-002	-5.782805e-001	1.019083e+001
4.384130374693013e-003	4.111223e-002	-4.192633e-001	1.019802e+001
4.473779021786257e-003	9.853174e-003	-1.010433e-001	1.025490e+001
4.574067670666961e-003	-2.777767e-002	2.822811e-001	1.016216e+001
4.632534538883554e-003	-4.705651e-002	4.787822e-001	1.017462e+001
4.669459383490437e-003	-5.626381e-002	5.726933e-001	1.017872e+001
4.695162895327165e-003	-6.081889e-002	6.191946e-001	1.018096e+001
4.713969353130784e-003	-6.308143e-002	6.423220e-001	1.018243e+001
4.729858534213541e-003	-6.425080e-002	6.543049e-001	1.018361e+001
4.745137098727447e-003	-6.471732e-002	6.591271e-001	1.018471e+001
4.763192074315230e-003	-6.443349e-002	6.563199e-001	1.018601e+001
4.786471410984066e-003	-6.268481e-002	6.386157e-001	1.018773e+001
4.824187039490089e-003	-5.674517e-002	5.782805e-001	1.019083e+001
4.884130374693405e-003	-4.111223e-002	4.192633e-001	1.019802e+001
4.973779021786813e-003	-9.853174e-003	1.010433e-001	1.025490e+001
5.074067670667317e-003	2.777767e-002	-2.822811e-001	1.016216e+001
5.132534538883765e-003	4.705651e-002	-4.787822e-001	1.017462e+001
5.169459383490579e-003	5.626381e-002	-5.726933e-001	1.017872e+001
5.195162895327267e-003	6.081889e-002	-6.191946e-001	1.018096e+001
5.213969353130859e-003	6.308143e-002	-6.423220e-001	1.018243e+001
5.229858534213634e-003	6.425080e-002	-6.543048e-001	1.018360e+001
5.245137098727469e-003	6.471732e-002	-6.591270e-001	1.018471e+001
5.263192074315238e-003	6.443349e-002	-6.563199e-001	1.018601e+001
5.286471410984079e-003	6.268481e-002	-6.386157e-001	1.018773e+001
5.324187039490110e-003	5.674517e-002	-5.782805e-001	1.019083e+001
5.384130374693439e-003	4.111223e-002	-4.192633e-001	1.019802e+001
5.473779021786860e-003	9.853174e-003	-1.010433e-001	1.025490e+001
5.574067670667347e-003	-2.777767e-002	2.822811e-001	1.016216e+001
5.632534538883784e-003	-4.705651e-002	4.787822e-001	1.017462e+001
5.669459383490592e-003	-5.626381e-002	5.726933e-001	1.017872e+001
5.695162895327276e-003	-6.081889e-002	6.191946e-001	1.018096e+001
5.713969353130867e-003	-6.308143e-002	6.423220e-001	1.018243e+001
5.729858534213645e-003	-6.425080e-002	6.543049e-001	1.018361e+001
5.745137098727471e-003	-6.471732e-002	6.591271e-001	1.018471e+001
5.763192074315239e-003	-6.443349e-002	6.563199e-001	1.018601e+001
