f	H
1.00000000000000e+001	2.02726302060381e+001
1.04712854805090e+001	2.02726280617262e+001
1.09647819614319e+001	2.02726257105662e+001
1.14815362149688e+001	2.02726231326080e+001
1.20226443461741e+001	2.02726203059783e+001
1.25892541179417e+001	2.02726172066947e+001
1.31825673855641e+001	2.02726138084630e+001
1.38038426460289e+001	2.02726100824544e+001
1.44543977074593e+001	2.02726059970616e+001
1.51356124843621e+001	2.02726015176307e+001
1.58489319246111e+001	2.02725966061687e+001
1.65958690743756e+001	2.02725912210216e+001
1.73780082874938e+001	2.02725853165221e+001
1.81970085860999e+001	2.02725788426038e+001
1.90546071796325e+001	2.02725717443782e+001
1.99526231496888e+001	2.02725639616707e+001
2.08929613085404e+001	2.02725554285129e+001
2.18776162394956e+001	2.02725460725859e+001
2.29086765276778e+001	2.02725358146103e+001
2.39883291901949e+001	2.02725245676781e+001
2.51188643150958e+001	2.02725122365210e+001
2.63026799189539e+001	2.02724987167085e+001
2.75422870333817e+001	2.02724838937698e+001
2.88403150312661e+001	2.02724676422323e+001
3.01995172040202e+001	2.02724498245688e+001
3.16227766016838e+001	2.02724302900443e+001
3.31131121482592e+001	2.02724088734545e+001
3.46736850452532e+001	2.02723853937439e+001
3.63078054770102e+001	2.02723596524950e+001
3.80189396320562e+001	2.02723314322739e+001
3.98107170553498e+001	2.02723004948212e+001
4.16869383470336e+001	2.02722665790738e+001
4.36515832240167e+001	2.02722293990012e+001
4.57088189614876e+001	2.02721886412412e+001
4.78630092322639e+001	2.02721439625155e+001
5.01187233627273e+001	2.02720949868076e+001
5.24807460249774e+001	2.02720413022802e+001
5.49540873857626e+001	2.02719824579112e+001
5.75439937337158e+001	2.02719179598224e+001
6.02559586074359e+001	2.02718472672772e+001
6.30957344480195e+001	2.02717697883172e+001
6.60693448007598e+001	2.02716848750096e+001
6.91830970918938e+001	2.02715918182736e+001
7.24435960074992e+001	2.02714898422525e+001
7.58577575029186e+001	2.02713780981961e+001
7.94328234724284e+001	2.02712556578170e+001
8.31763771102674e+001	2.02711215060824e+001
8.70963589956084e+001	2.02709745334015e+001
9.12010839355913e+001	2.02708135271669e+001
9.54992586021439e+001	2.02706371626106e+001
1.00000000000000e+002	2.02704439929299e+001
1.04712854805090e+002	2.02702324386445e+001
1.09647819614319e+002	2.02700007761430e+001
1.14815362149689e+002	2.02697471253813e+001
1.20226443461742e+002	2.02694694366993e+001
1.25892541179417e+002	2.02691654767240e+001
1.31825673855641e+002	2.02688328133381e+001
1.38038426460289e+002	2.02684687996980e+001
1.44543977074593e+002	2.02680705572973e+001
1.51356124843621e+002	2.02676349580853e+001
1.58489319246112e+002	2.02671586056666e+001
1.65958690743757e+002	2.02666378156267e+001
1.73780082874938e+002	2.02660685950527e+001
1.81970085860999e+002	2.02654466213452e+001
1.90546071796326e+002	2.02647672204472e+001
1.99526231496889e+002	2.02640253446536e+001
2.08929613085405e+002	2.02632155502001e+001
2.18776162394956e+002	2.02623319748763e+001
2.29086765276778e+002	2.02613683159476e+001
2.39883291901950e+002	2.02603178087199e+001
2.51188643150959e+002	2.02591732061213e+001
2.63026799189540e+002	2.02579267597173e+001
2.75422870333818e+002	2.02565702026080e+001
2.88403150312662e+002	2.02550947346747e+001
3.01995172040203e+002	2.02534910106459e+001
3.16227766016840e+002	2.02517491314310e+001
3.31131121482593e+002	2.02498586391119e+001
3.46736850452534e+002	2.02478085158880e+001
3.63078054770104e+002	2.02455871871201e+001
3.80189396320564e+002	2.02431825284107e+001
3.98107170553500e+002	2.02405818763825e+001
4.16869383470338e+002	2.02377720424612e+001
4.36515832240169e+002	2.02347393285392e+001
4.57088189614878e+002	2.02314695428868e+001
4.78630092322641e+002	2.02279480140932e+001
5.01187233627276e+002	2.02241596001862e+001
5.24807460249776e+002	2.02200886894073e+001
5.49540873857628e+002	2.02157191884512e+001
5.75439937337161e+002	2.02110344933545e+001
6.02559586074362e+002	2.02060174376911e+001
6.30957344480198e+002	2.02006502123507e+001
6.60693448007601e+002	2.01949142510112e+001
6.91830970918941e+002	2.01887900755025e+001
7.24435960074995e+002	2.01822570956463e+001
7.58577575029189e+002	2.01752933588613e+001
7.94328234724287e+002	2.01678752458381e+001
8.31763771102677e+002	2.01599771098761e+001
8.70963589956087e+002	2.01515708589709e+001
9.12010839355917e+002	2.01426254813439e+001
9.54992586021443e+002	2.01331065167053e+001
1.00000000000001e+003	2.01229754769981e+001
1.04712854805091e+003	2.01121892215746e+001
1.09647819614319e+003	2.01006992925862e+001
1.14815362149689e+003	2.00884512167610e+001
1.20226443461742e+003	2.00753837796626e+001
1.25892541179418e+003	2.00614282779846e+001
1.31825673855642e+003	2.00465077545025e+001
1.38038426460290e+003	2.00305362190762e+001
1.44543977074594e+003	2.00134178577093e+001
1.51356124843622e+003	1.99950462302578e+001
1.58489319246113e+003	1.99753034561079e+001
1.65958690743757e+003	1.99540593861129e+001
1.73780082874939e+003	1.99311707584393e+001
1.81970085861000e+003	1.99064803357642e+001
1.90546071796326e+003	1.98798160215806e+001
1.99526231496890e+003	1.98509899541958e+001
2.08929613085406e+003	1.98197975783749e+001
2.18776162394957e+003	1.97860166964579e+001
2.29086765276779e+003	1.97494065031381e+001
2.39883291901951e+003	1.97097066109058e+001
2.51188643150960e+003	1.96666360763775e+001
2.63026799189541e+003	1.96198924413340e+001
2.75422870333819e+003	1.95691508062049e+001
2.88403150312663e+003	1.95140629579367e+001
3.01995172040204e+003	1.94542565785912e+001
3.16227766016841e+003	1.93893345655555e+001
3.31131121482594e+003	1.93188744988052e+001
3.46736850452535e+003	1.92424282951022e+001
3.63078054770105e+003	1.91595220931411e+001
3.80189396320565e+003	1.90696564172653e+001
3.98107170553501e+003	1.89723066701714e+001
4.16869383470339e+003	1.88669240066855e+001
4.36515832240170e+003	1.87529366408640e+001
4.57088189614880e+003	1.86297516369410e+001
4.78630092322643e+003	1.84967572306183e+001
5.01187233627277e+003	1.83533257204717e+001
5.24807460249778e+003	1.81988169595056e+001
5.49540873857630e+003	1.80325824638882e+001
5.75439937337163e+003	1.78539701395580e+001
6.02559586074364e+003	1.76623296078252e+001
6.30957344480200e+003	1.74570180886679e+001
6.60693448007603e+003	1.72374067757901e+001
6.91830970918944e+003	1.70028876116198e+001
7.24435960074998e+003	1.67528803445380e+001
7.58577575029192e+003	1.64868397262292e+001
7.94328234724290e+003	1.62042626858172e+001
8.31763771102680e+003	1.59046953011080e+001
8.70963589956090e+003	1.55877393774435e+001
9.12010839355919e+003	1.52530584427503e+001
9.54992586021446e+003	1.49003829742913e+001
1.00000000000001e+004	1.45295146887922e+001
1.04712854805091e+004	1.41403297527352e+001
1.09647819614320e+004	1.37327808027210e+001
1.14815362149690e+004	1.33068977052563e+001
1.20226443461743e+004	1.28627870289471e+001
1.25892541179418e+004	1.24006302473108e+001
1.31825673855642e+004	1.19206807345644e+001
1.38038426460290e+004	1.14232596572060e+001
1.44543977074594e+004	1.09087508987010e+001
1.51356124843623e+004	1.03775951813700e+001
1.58489319246113e+004	9.83028356753220e+000
1.65958690743758e+004	9.26735053069072e+000
1.73780082874940e+004	8.68936678730026e+000
1.81970085861000e+004	8.09693207130467e+000
1.90546071796327e+004	7.49066801846290e+000
1.99526231496890e+004	6.87121130709882e+000
2.08929613085406e+004	6.23920717802935e+000
2.18776162394958e+004	5.59530343073978e+000
2.29086765276780e+004	4.94014496692335e+000
2.39883291901952e+004	4.27436892758853e+000
2.51188643150961e+004	3.59860044707117e+000
2.63026799189541e+004	2.91344902718206e+000
2.75422870333820e+004	2.21950551778738e+000
2.88403150312664e+004	1.51733967652098e+000
3.01995172040205e+004	8.07498270011250e-001
3.16227766016842e+004	9.05036717573372e-002
3.31131121482595e+004	-6.33147092711445e-001
3.46736850452536e+004	-1.36298290490121e+000
3.63078054770106e+004	-2.09855876834774e+000
3.80189396320566e+004	-2.83945572990032e+000
3.98107170553502e+004	-3.58528055515870e+000
4.16869383470341e+004	-4.33566520261604e+000
4.36515832240172e+004	-5.09026613723370e+000
4.57088189614881e+004	-5.84876352007376e+000
4.78630092322645e+004	-6.61086030643936e+000
5.01187233627279e+004	-7.37628128087143e+000
5.24807460249780e+004	-8.14477205343353e+000
5.49540873857632e+004	-8.91609803806064e+000
5.75439937337165e+004	-9.69004343039971e+000
6.02559586074366e+004	-1.04664101995554e+001
6.30957344480202e+004	-1.12450171054798e+001
6.60693448007605e+004	-1.20256987514057e+001
6.91830970918946e+004	-1.28083046787012e+001
7.24435960075000e+004	-1.35926985098024e+001
7.58577575029194e+004	-1.43787571434305e+001
7.94328234724293e+004	-1.51663700050951e+001
8.31763771102683e+004	-1.59554383549008e+001
8.70963589956093e+004	-1.67458746538800e+001
9.12010839355923e+004	-1.75376019894459e+001
9.54992586021450e+004	-1.83305535600713e+001
1.00000000000000e+005	-1.91246722189339e+001
