f	H
1.00000000000000e+001	2.24982099673597e+001
1.04712854805090e+001	2.24981675143294e+001
1.09647819614319e+001	2.24981209659842e+001
1.14815362149688e+001	2.24980699273122e+001
1.20226443461741e+001	2.24980139652105e+001
1.25892541179417e+001	2.24979526048149e+001
1.31825673855641e+001	2.24978853254756e+001
1.38038426460289e+001	2.24978115563449e+001
1.44543977074593e+001	2.24977306715417e+001
1.51356124843621e+001	2.24976419848500e+001
1.58489319246111e+001	2.24975447439078e+001
1.65958690743756e+001	2.24974381238373e+001
1.73780082874938e+001	2.24973212202633e+001
1.81970085860999e+001	2.24971930416600e+001
1.90546071796325e+001	2.24970525009643e+001
1.99526231496888e+001	2.24968984063830e+001
2.08929613085404e+001	2.24967294513185e+001
2.18776162394956e+001	2.24965442033285e+001
2.29086765276778e+001	2.24963410920282e+001
2.39883291901949e+001	2.24961183958335e+001
2.51188643150958e+001	2.24958742274360e+001
2.63026799189539e+001	2.24956065178891e+001
2.75422870333817e+001	2.24953129991740e+001
2.88403150312661e+001	2.24949911851018e+001
3.01995172040202e+001	2.24946383503948e+001
3.16227766016838e+001	2.24942515077761e+001
3.31131121482592e+001	2.24938273828802e+001
3.46736850452532e+001	2.24933623867805e+001
3.63078054770102e+001	2.24928525859130e+001
3.80189396320562e+001	2.24922936691512e+001
3.98107170553498e+001	2.24916809117713e+001
4.16869383470336e+001	2.24910091360194e+001
4.36515832240167e+001	2.24902726679681e+001
4.57088189614876e+001	2.24894652903254e+001
4.78630092322639e+001	2.24885801908261e+001
5.01187233627273e+001	2.24876099058077e+001
5.24807460249774e+001	2.24865462585398e+001
5.49540873857626e+001	2.24853802918375e+001
5.75439937337158e+001	2.24841021944576e+001
6.02559586074359e+001	2.24827012207312e+001
6.30957344480195e+001	2.24811656028494e+001
6.60693448007598e+001	2.24794824551726e+001
6.91830970918938e+001	2.24776376698919e+001
7.24435960074992e+001	2.24756158033221e+001
7.58577575029186e+001	2.24733999520619e+001
7.94328234724284e+001	2.24709716182070e+001
8.31763771102674e+001	2.24683105627584e+001
8.70963589956084e+001	2.24653946463207e+001
9.12010839355913e+001	2.24621996561444e+001
9.54992586021439e+001	2.24586991185287e+001
1.00000000000000e+002	2.24548640955682e+001
1.04712854805090e+002	2.24506629652067e+001
1.09647819614319e+002	2.24460611835462e+001
1.14815362149689e+002	2.24410210283656e+001
1.20226443461742e+002	2.24355013228233e+001
1.25892541179417e+002	2.24294571383638e+001
1.31825673855641e+002	2.24228394759223e+001
1.38038426460289e+002	2.24155949246309e+001
1.44543977074593e+002	2.24076652973831e+001
1.51356124843621e+002	2.23989872428148e+001
1.58489319246112e+002	2.23894918335258e+001
1.65958690743757e+002	2.23791041307019e+001
1.73780082874938e+002	2.23677427257139e+001
1.81970085860999e+002	2.23553192597877e+001
1.90546071796326e+002	2.23417379234596e+001
1.99526231496889e+002	2.23268949382822e+001
2.08929613085405e+002	2.23106780241230e+001
2.18776162394956e+002	2.22929658564373e+001
2.29086765276778e+002	2.22736275190855e+001
2.39883291901950e+002	2.22525219596287e+001
2.51188643150959e+002	2.22294974555724e+001
2.63026799189540e+002	2.22043911017306e+001
2.75422870333818e+002	2.21770283307472e+001
2.88403150312662e+002	2.21472224808108e+001
3.01995172040203e+002	2.21147744266952e+001
3.16227766016840e+002	2.20794722924002e+001
3.31131121482593e+002	2.20410912657808e+001
3.46736850452534e+002	2.19993935375343e+001
3.63078054770104e+002	2.19541283886475e+001
3.80189396320564e+002	2.19050324517380e+001
3.98107170553500e+002	2.18518301724808e+001
4.16869383470338e+002	2.17942344972951e+001
4.36515832240169e+002	2.17319478124725e+001
4.57088189614878e+002	2.16646631577352e+001
4.78630092322641e+002	2.15920657336226e+001
5.01187233627276e+002	2.15138347169422e+001
5.24807460249776e+002	2.14296453916700e+001
5.49540873857628e+002	2.13391715941072e+001
5.75439937337161e+002	2.12420884608688e+001
6.02559586074362e+002	2.11380754565978e+001
6.30957344480198e+002	2.10268196455221e+001
6.60693448007601e+002	2.09080191576222e+001
6.91830970918941e+002	2.07813867869184e+001
7.24435960074995e+002	2.06466536470255e+001
7.58577575029189e+002	2.05035727985365e+001
7.94328234724287e+002	2.03519227548943e+001
8.31763771102677e+002	2.01915107690262e+001
8.70963589956087e+002	2.00221758028501e+001
9.12010839355917e+002	1.98437910862582e+001
9.54992586021443e+002	1.96562661814991e+001
1.00000000000001e+003	1.94595484827857e+001
1.04712854805091e+003	1.92536240988821e+001
1.09647819614319e+003	1.90385180874250e+001
1.14815362149689e+003	1.88142940326249e+001
1.20226443461742e+003	1.85810529813865e+001
1.25892541179418e+003	1.83389317753721e+001
1.31825673855642e+003	1.80881008367622e+001
1.38038426460290e+003	1.78287614823212e+001
1.44543977074594e+003	1.75611428530090e+001
1.51356124843622e+003	1.72854985543155e+001
1.58489319246113e+003	1.70021031056242e+001
1.65958690743757e+003	1.67112482954771e+001
1.73780082874939e+003	1.64132395341382e+001
1.81970085861000e+003	1.61083922860898e+001
1.90546071796326e+003	1.57970286539087e+001
1.99526231496890e+003	1.54794741722598e+001
2.08929613085406e+003	1.51560548573865e+001
2.18776162394957e+003	1.48270945442261e+001
2.29086765276779e+003	1.44929125307745e+001
2.39883291901951e+003	1.41538215380268e+001
2.51188643150960e+003	1.38101259840487e+001
2.63026799189541e+003	1.34621205626516e+001
2.75422870333819e+003	1.31100891107834e+001
2.88403150312663e+003	1.27543037440527e+001
3.01995172040204e+003	1.23950242366328e+001
3.16227766016841e+003	1.20324976199673e+001
3.31131121482594e+003	1.16669579740050e+001
3.46736850452535e+003	1.12986263849221e+001
3.63078054770105e+003	1.09277110442284e+001
3.80189396320565e+003	1.05544074656182e+001
3.98107170553501e+003	1.01788987977459e+001
4.16869383470339e+003	9.80135621313761e+000
