time	V
0.000000000000000e+000	0.000000e+000
1.000000000000000e-006	0.000000e+000
1.022690456484403e-006	2.362647e-005
1.045380912968807e-006	1.325018e-004
1.068071369453210e-006	3.266261e-004
1.090761825937613e-006	6.059992e-004
1.113452282422017e-006	9.706213e-004
1.136142738906420e-006	1.420492e-003
1.158833195390823e-006	1.955612e-003
1.258833195390823e-006	5.101061e-003
1.358833195390823e-006	9.520202e-003
1.400000000000000e-006	1.176218e-002
1.417666390781646e-006	1.286034e-002
1.452999172344937e-006	1.525441e-002
1.500000000000000e-006	1.862538e-002
1.535100366532957e-006	2.139294e-002
1.570200733065913e-006	2.416422e-002
1.605301099598870e-006	2.693921e-002
1.640401466131827e-006	2.971792e-002
1.675501832664783e-006	3.250033e-002
1.710602199197740e-006	3.528646e-002
1.745702565730696e-006	3.807630e-002
2.424887913483454e-006	9.178324e-002
3.104073261236212e-006	1.452576e-001
3.783258608988970e-006	1.984994e-001
4.462443956741728e-006	2.515086e-001
5.141629304494486e-006	3.042853e-001
5.820814652247244e-006	3.568294e-001
6.500000000000000e-006	4.091409e-001
6.570000000000000e-006	4.141372e-001
6.750000000000000e-006	4.235636e-001
6.900000000000001e-006	4.279031e-001
7.000000000000001e-006	4.288732e-001
7.030000000000001e-006	4.288162e-001
2.011857142857166e-005	3.945403e-001
3.320714285714331e-005	3.625649e-001
4.629571428571496e-005	3.328899e-001
5.938428571428662e-005	3.055155e-001
7.247285714285828e-005	2.804415e-001
8.556142857142993e-005	2.576681e-001
9.865000000000156e-005	2.371951e-001
9.875000000000156e-005	2.370418e-001
1.009000000000000e-004	2.337707e-001
1.009999999999968e-004	2.336196e-001
1.010000000000000e-004	2.336196e-001
1.010000000000065e-004	2.336196e-001
1.010000000000452e-004	2.336196e-001
1.010000000000968e-004	2.336196e-001
1.010158324838505e-004	2.335979e-001
1.010316649676042e-004	2.336208e-001
1.010474974513579e-004	2.336882e-001
1.010633299351116e-004	2.338003e-001
1.010791624188654e-004	2.339570e-001
1.010949949026191e-004	2.341582e-001
1.011108273863728e-004	2.344041e-001
1.012108273863728e-004	2.367330e-001
1.013108273863728e-004	2.404298e-001
1.015000000000000e-004	2.514911e-001
1.015700000000000e-004	2.569061e-001
1.022742857142857e-004	3.115983e-001
1.029785714285714e-004	3.660453e-001
1.036828571428571e-004	4.202470e-001
1.043871428571429e-004	4.742035e-001
1.050914285714286e-004	5.279148e-001
1.057957142857143e-004	5.813808e-001
1.065000000000000e-004	6.346015e-001
1.065699999999998e-004	6.394958e-001
1.068499999999996e-004	6.518720e-001
1.070000000000000e-004	6.536064e-001
1.070300000000000e-004	6.535058e-001
1.198471428571432e-004	6.022795e-001
1.326642857142864e-004	5.544352e-001
1.454814285714295e-004	5.099728e-001
1.582985714285727e-004	4.688925e-001
1.711157142857159e-004	4.311941e-001
1.839328571428590e-004	3.968777e-001
1.967500000000022e-004	3.659433e-001
1.968500000000022e-004	3.657069e-001
2.009000000000000e-004	3.562582e-001
