time	V
0.000000000000000e+000	0.000000e+000
1.000000000000000e-006	0.000000e+000
1.022690456484403e-006	2.362647e-005
1.045380912968807e-006	1.325018e-004
1.068071369453210e-006	3.266261e-004
1.090761825937613e-006	6.059992e-004
1.113452282422017e-006	9.706213e-004
1.136142738906420e-006	1.420492e-003
1.158833195390823e-006	1.955612e-003
1.258833195390823e-006	5.101061e-003
1.358833195390823e-006	9.520202e-003
1.400000000000000e-006	1.176218e-002
1.417666390781646e-006	1.286034e-002
1.452999172344937e-006	1.525441e-002
1.500000000000000e-006	1.862538e-002
1.535100366532957e-006	2.139294e-002
1.570200733065913e-006	2.416422e-002
1.605301099598870e-006	2.693921e-002
1.640401466131827e-006	2.971792e-002
1.675501832664783e-006	3.250033e-002
1.710602199197740e-006	3.528646e-002
1.745702565730696e-006	3.807630e-002
2.424887913483454e-006	9.178324e-002
3.104073261236212e-006	1.452576e-001
3.783258608988970e-006	1.984994e-001
4.462443956741728e-006	2.515086e-001
5.141629304494486e-006	3.042853e-001
5.820814652247244e-006	3.568294e-001
6.500000000000000e-006	4.091409e-001
6.570000000000000e-006	4.141372e-001
6.750000000000000e-006	4.235636e-001
6.900000000000001e-006	4.279031e-001
7.000000000000001e-006	4.288732e-001
7.030000000000001e-006	4.288162e-001
2.011857142857166e-005	3.945403e-001
3.320714285714331e-005	3.625649e-001
4.629571428571496e-005	3.328899e-001
5.938428571428662e-005	3.055155e-001
7.247285714285828e-005	2.804415e-001
8.556142857142993e-005	2.576681e-001
9.865000000000156e-005	2.371951e-001
9.875000000000156e-005	2.370418e-001
1.130357142857162e-004	2.164896e-001
1.273214285714309e-004	1.974147e-001
1.416071428571455e-004	1.798172e-001
1.558928571428601e-004	1.636972e-001
1.701785714285748e-004	1.490546e-001
1.844642857142894e-004	1.358894e-001
1.987500000000040e-004	1.242016e-001
2.011500000000041e-004	1.222898e-001
2.155500000000044e-004	1.116086e-001
2.299500000000048e-004	1.016999e-001
2.443500000000051e-004	9.256383e-002
2.587500000000055e-004	8.420030e-002
2.731500000000059e-004	7.660933e-002
2.875500000000062e-004	6.979093e-002
3.019500000000065e-004	6.374510e-002
3.035500000000065e-004	6.308929e-002
3.181642857142926e-004	5.750325e-002
3.327785714285787e-004	5.232587e-002
3.473928571428648e-004	4.755714e-002
3.620071428571508e-004	4.319707e-002
3.766214285714369e-004	3.924566e-002
3.912357142857230e-004	3.570290e-002
4.058500000000090e-004	3.256879e-002
4.059500000000090e-004	3.254775e-002
4.193642857142942e-004	2.988567e-002
4.327785714285793e-004	2.740580e-002
4.461928571428645e-004	2.510814e-002
4.596071428571496e-004	2.299270e-002
4.730214285714348e-004	2.105948e-002
4.864357142857199e-004	1.930847e-002
4.998500000000050e-004	1.773967e-002
4.999500000000050e-004	1.772821e-002
5.000000000000000e-004	1.772248e-002
