time	V(in)	V(out)
1.011987090549653e-006	-2.396420e-002	-1.575421e-006
1.023974181099307e-006	-4.792840e-002	2.354666e-005
1.035961271648960e-006	-7.189261e-002	7.536625e-005
1.047948362198613e-006	-9.585681e-002	1.538833e-004
1.059935452748266e-006	-1.198210e-001	2.590979e-004
1.071922543297920e-006	-1.437852e-001	3.910101e-004
1.083909633847573e-006	-1.677494e-001	5.496197e-004
1.168479973473473e-006	-3.368198e-001	2.303949e-003
1.268479973473473e-006	-5.367366e-001	5.735618e-003
1.368479973473473e-006	-7.366534e-001	1.048014e-002
1.400000000000000e-006	-7.996672e-001	1.232694e-002
1.436959946946946e-006	-8.735564e-001	1.484758e-002
1.500000000000000e-006	-9.995840e-001	1.949079e-002
1.544128037137138e-006	-9.995841e-001	2.312213e-002
2.252109746117547e-006	-9.995841e-001	8.178030e-002
2.960091455097957e-006	-9.995841e-001	1.401833e-001
3.668073164078366e-006	-9.995841e-001	1.983313e-001
4.376054873058774e-006	-9.995841e-001	2.562241e-001
5.084036582039184e-006	-9.995841e-001	3.138617e-001
5.792018291019593e-006	-9.995840e-001	3.712443e-001
6.500000000000000e-006	-9.995840e-001	4.283717e-001
6.533558575203788e-006	-9.324948e-001	4.309833e-001
6.567117150407575e-006	-8.654056e-001	4.334138e-001
6.600675725611363e-006	-7.983164e-001	4.356631e-001
6.634234300815151e-006	-7.312271e-001	4.377313e-001
6.667792876018939e-006	-6.641379e-001	4.396183e-001
6.701351451222726e-006	-5.970487e-001	4.413241e-001
6.734910026426514e-006	-5.299594e-001	4.428489e-001
6.900000000000001e-006	-1.999168e-001	4.479862e-001
7.000000000000001e-006	2.533620e-009	4.490739e-001
7.030000000000001e-006	1.409826e-008	4.490175e-001
8.890000000000003e-006	1.582595e-008	4.438409e-001
1.075000000000000e-005	1.711504e-008	4.387214e-001
1.261000000000001e-005	1.796555e-008	4.336589e-001
1.447000000000001e-005	1.837746e-008	4.286535e-001
1.633000000000001e-005	1.835079e-008	4.237052e-001
1.819000000000001e-005	1.788553e-008	4.188139e-001
2.005000000000001e-005	1.698167e-008	4.139796e-001
3.123571428571451e-005	1.584820e-008	3.863478e-001
4.242142857142903e-005	1.477992e-008	3.603055e-001
5.360714285714353e-005	1.377685e-008	3.358526e-001
6.479285714285805e-005	1.283899e-008	3.129893e-001
7.597857142857255e-005	1.196632e-008	2.917155e-001
8.716428571428706e-005	1.115886e-008	2.720313e-001
9.835000000000155e-005	1.041661e-008	2.539365e-001
9.845000000000155e-005	1.041011e-008	2.537781e-001
1.130642857142876e-004	9.517586e-009	2.320202e-001
1.276785714285737e-004	8.688624e-009	2.118117e-001
1.422928571428598e-004	7.923221e-009	1.931527e-001
1.569071428571458e-004	7.221379e-009	1.760432e-001
1.715214285714319e-004	6.583097e-009	1.604831e-001
1.861357142857180e-004	6.008376e-009	1.464725e-001
2.007500000000040e-004	5.497214e-009	1.340114e-001
2.008500000000040e-004	5.493784e-009	1.339277e-001
2.154642857142901e-004	5.022768e-009	1.224453e-001
2.300785714285762e-004	4.585295e-009	1.117806e-001
2.446928571428622e-004	4.181366e-009	1.019336e-001
2.593071428571483e-004	3.810979e-009	9.290425e-002
2.739214285714344e-004	3.474135e-009	8.469265e-002
2.885357142857205e-004	3.170834e-009	7.729876e-002
3.031500000000065e-004	2.901075e-009	7.072258e-002
3.032500000000065e-004	2.899265e-009	7.067845e-002
3.178642857142926e-004	2.650694e-009	6.461876e-002
3.324785714285787e-004	2.419824e-009	5.899060e-002
3.470928571428647e-004	2.206656e-009	5.379398e-002
3.617071428571508e-004	2.011189e-009	4.902889e-002
3.763214285714369e-004	1.833425e-009	4.469533e-002
3.909357142857230e-004	1.673362e-009	4.079331e-002
4.055500000000090e-004	1.531001e-009	3.732283e-002
4.056500000000090e-004	1.530046e-009	3.729954e-002
4.202642857142936e-004	1.398866e-009	3.410162e-002
4.348785714285781e-004	1.277027e-009	3.113144e-002
4.494928571428627e-004	1.164531e-009	2.838900e-002
4.641071428571472e-004	1.061376e-009	2.587429e-002
4.787214285714318e-004	9.675636e-010	2.358732e-002
4.933357142857163e-004	8.830928e-010	2.152809e-002
5.079500000000008e-004	8.079638e-010	1.969659e-002
5.080500000000008e-004	8.074597e-010	1.968430e-002
5.226642857142789e-004	7.382313e-010	1.799664e-002
5.372785714285571e-004	6.739329e-010	1.642917e-002
