time	V(out)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-006	0.000000e+000
1.011300467482955e-006	-3.363908e-008
1.022600934965910e-006	-1.727030e-008
1.033901402448865e-006	4.910635e-008
1.045201869931820e-006	1.654909e-007
1.056502337414775e-006	3.318832e-007
1.067802804897729e-006	5.482835e-007
1.079103272380684e-006	8.146916e-007
1.158829405173815e-006	5.744801e-006
1.234599218924191e-006	1.710220e-005
1.309101314726814e-006	3.930499e-005
1.389368099857683e-006	7.594820e-005
1.415870647162244e-006	9.228101e-005
1.446994905390878e-006	1.166499e-004
1.500000000000000e-006	1.638397e-004
1.537103566226386e-006	2.062121e-004
1.664315793288279e-006	4.041162e-004
1.764315793288279e-006	6.062451e-004
1.864315793288279e-006	8.515569e-004
1.964315793288279e-006	1.141190e-003
2.064315793288279e-006	1.474548e-003
2.164315793288279e-006	1.851045e-003
2.264315793288279e-006	2.270096e-003
2.364315793288279e-006	2.731124e-003
2.464315793288279e-006	3.233559e-003
2.564315793288279e-006	3.776834e-003
2.764315793288278e-006	4.983673e-003
2.964315793288278e-006	6.347228e-003
3.164315793288278e-006	7.863174e-003
3.364315793288278e-006	9.527275e-003
3.664315793288277e-006	1.229216e-002
3.964315793288277e-006	1.536740e-002
4.264315793288277e-006	1.873975e-002
4.583699251389952e-006	2.267767e-002
4.903082709491627e-006	2.688719e-002
5.222466167593302e-006	3.136832e-002
5.541849625694976e-006	3.612105e-002
5.861233083796651e-006	4.114538e-002
6.180616541898326e-006	4.644132e-002
6.500000000000000e-006	5.200887e-002
6.526147423351142e-006	5.247311e-002
6.552294846702284e-006	5.293838e-002
6.578442270053426e-006	5.340468e-002
6.604589693404567e-006	5.387200e-002
6.630737116755709e-006	5.434035e-002
6.656884540106851e-006	5.480972e-002
6.683031963457992e-006	5.528012e-002
6.900000000000001e-006	5.918006e-002
7.000000000000001e-006	6.096338e-002
7.046244748841188e-006	6.177994e-002
7.739509197631591e-006	7.319970e-002
8.432773646421994e-006	8.364528e-002
9.126038095212396e-006	9.311665e-002
9.819302544002799e-006	1.016138e-001
1.051256699279320e-005	1.091368e-001
1.120583144158360e-005	1.156856e-001
1.189909589037400e-005	1.212602e-001
1.261338160465972e-005	1.262750e-001
1.332766731894544e-005	1.306895e-001
1.404195303323115e-005	1.345038e-001
1.475623874751687e-005	1.377178e-001
1.547052446180258e-005	1.403316e-001
1.618481017608830e-005	1.423451e-001
1.689909589037401e-005	1.437584e-001
1.761338160465972e-005	1.447704e-001
1.832766731894543e-005	1.454583e-001
1.904195303323114e-005	1.458220e-001
1.975623874751684e-005	1.458615e-001
2.047052446180255e-005	1.455769e-001
2.118481017608826e-005	1.449682e-001
2.189909589037396e-005	1.440353e-001
2.281338160465967e-005	1.425136e-001
2.372766731894538e-005	1.407632e-001
2.464195303323108e-005	1.387839e-001
2.555623874751679e-005	1.365758e-001
2.647052446180249e-005	1.341388e-001
2.738481017608820e-005	1.314731e-001
