time	V(out)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-006	0.000000e+000
1.011300737267901e-006	-3.513050e-008
1.022601474535802e-006	-1.797891e-008
1.033902211803703e-006	5.145478e-008
1.045202949071604e-006	1.731706e-007
1.056503686339505e-006	3.471685e-007
1.067804423607406e-006	5.734485e-007
1.079105160875307e-006	8.520105e-007
1.158833197033097e-006	5.952106e-006
1.232940470424254e-006	1.737315e-005
1.305915274483698e-006	3.964929e-005
1.385086719776709e-006	7.694238e-005
1.416839464173892e-006	9.689326e-005
1.436494511205634e-006	1.119034e-004
1.460689905936517e-006	1.331516e-004
1.500000000000000e-006	1.710873e-004
1.531694470228114e-006	2.092091e-004
1.563388940456228e-006	2.521276e-004
1.595083410684342e-006	2.998428e-004
1.626777880912456e-006	3.523546e-004
1.658472351140570e-006	4.096631e-004
1.690166821368684e-006	4.717683e-004
1.721861291596798e-006	5.386702e-004
1.821861291596798e-006	7.751446e-004
1.921861291596798e-006	1.058189e-003
2.021861291596798e-006	1.387178e-003
2.121861291596798e-006	1.761490e-003
2.221861291596798e-006	2.180511e-003
2.321861291596797e-006	2.643632e-003
2.421861291596797e-006	3.150251e-003
2.521861291596797e-006	3.699772e-003
2.621861291596797e-006	4.291603e-003
2.821861291596797e-006	5.599862e-003
3.021861291596797e-006	7.070415e-003
3.221861291596796e-006	8.698737e-003
3.421861291596796e-006	1.048040e-002
3.721861291596796e-006	1.343090e-002
4.021861291596796e-006	1.670233e-002
4.321861291596795e-006	2.028078e-002
4.633023964225825e-006	2.433700e-002
4.944186636854854e-006	2.865972e-002
5.255349309483883e-006	3.324894e-002
5.566511982112913e-006	3.810467e-002
5.877674654741942e-006	4.322691e-002
6.188837327370972e-006	4.861565e-002
6.500000000000000e-006	5.427090e-002
6.570000000000000e-006	5.556874e-002
6.750000000000000e-006	5.893364e-002
6.900000000000001e-006	6.174044e-002
7.000000000000001e-006	6.359903e-002
7.030000000000001e-006	6.415125e-002
7.718571428571434e-006	7.598979e-002
8.407142857142866e-006	8.680413e-002
9.095714285714300e-006	9.659426e-002
9.784285714285733e-006	1.053602e-001
1.047285714285717e-005	1.131019e-001
1.116142857142860e-005	1.198194e-001
1.185000000000003e-005	1.255127e-001
1.255000000000003e-005	1.305416e-001
1.325000000000003e-005	1.349432e-001
1.395000000000004e-005	1.387178e-001
1.465000000000004e-005	1.418652e-001
1.535000000000004e-005	1.443854e-001
1.605000000000004e-005	1.462785e-001
1.675000000000004e-005	1.475445e-001
1.743571428571432e-005	1.483716e-001
1.812142857142860e-005	1.488631e-001
1.880714285714288e-005	1.490191e-001
1.949285714285716e-005	1.488395e-001
2.017857142857144e-005	1.483244e-001
2.086428571428572e-005	1.474738e-001
2.155000000000000e-005	1.462876e-001
2.247857142857142e-005	1.442888e-001
2.340714285714283e-005	1.420178e-001
2.433571428571426e-005	1.394747e-001
2.526428571428568e-005	1.366594e-001
2.619285714285709e-005	1.335721e-001
