Freq.	V(out)/V(in)
1.00000000000000e+001	-6.00337538166110e+001
1.04712854805090e+001	-5.96337546497158e+001
1.09647819614319e+001	-5.92337555631971e+001
1.14815362149688e+001	-5.88337565648092e+001
1.20226443461741e+001	-5.84337576630549e+001
1.25892541179417e+001	-5.80337588672572e+001
1.31825673855641e+001	-5.76337601876386e+001
1.38038426460289e+001	-5.72337616354078e+001
1.44543977074593e+001	-5.68337632228549e+001
1.51356124843621e+001	-5.64337649634556e+001
1.58489319246111e+001	-5.60337668719860e+001
1.65958690743756e+001	-5.56337689646475e+001
1.73780082874938e+001	-5.52337712592046e+001
1.81970085860999e+001	-5.48337737751357e+001
1.90546071796325e+001	-5.44337765337985e+001
1.99526231496888e+001	-5.40337795586111e+001
2.08929613085404e+001	-5.36337828752510e+001
2.18776162394956e+001	-5.32337865118728e+001
2.29086765276778e+001	-5.28337904993476e+001
2.39883291901949e+001	-5.24337948715246e+001
2.51188643150958e+001	-5.20337996655189e+001
2.63026799189539e+001	-5.16338049220261e+001
2.75422870333817e+001	-5.12338106856679e+001
2.88403150312661e+001	-5.08338170053711e+001
3.01995172040202e+001	-5.04338239347826e+001
3.16227766016838e+001	-5.00338315327248e+001
3.31131121482592e+001	-4.96338398636952e+001
3.46736850452532e+001	-4.92338489984134e+001
3.63078054770102e+001	-4.88338590144217e+001
3.80189396320562e+001	-4.84338699967431e+001
3.98107170553498e+001	-4.80338820386031e+001
4.16869383470336e+001	-4.76338952422208e+001
4.36515832240167e+001	-4.72339097196767e+001
4.57088189614876e+001	-4.68339255938638e+001
4.78630092322639e+001	-4.64339429995303e+001
5.01187233627273e+001	-4.60339620844241e+001
5.24807460249774e+001	-4.56339830105459e+001
5.49540873857626e+001	-4.52340059555242e+001
5.75439937337158e+001	-4.48340311141229e+001
6.02559586074359e+001	-4.44340586998941e+001
6.30957344480195e+001	-4.40340889469900e+001
6.60693448007598e+001	-4.36341221121501e+001
6.91830970918938e+001	-4.32341584768795e+001
7.24435960074992e+001	-4.28341983498375e+001
7.58577575029186e+001	-4.24342420694560e+001
7.94328234724284e+001	-4.20342900068116e+001
8.31763771102674e+001	-4.16343425687727e+001
8.70963589956084e+001	-4.12344002014515e+001
9.12010839355913e+001	-4.08344633939875e+001
9.54992586021439e+001	-4.04345326826971e+001
1.00000000000000e+002	-4.00346086556210e+001
1.04712854805090e+002	-3.96346919575119e+001
1.09647819614319e+002	-3.92347832953007e+001
1.14815362149689e+002	-3.88348834440907e+001
1.20226443461742e+002	-3.84349932537281e+001
1.25892541179417e+002	-3.80351136560056e+001
1.31825673855641e+002	-3.76352456725594e+001
1.38038426460289e+002	-3.72353904235260e+001
1.44543977074593e+002	-3.68355491370321e+001
1.51356124843621e+002	-3.64357231595978e+001
1.58489319246112e+002	-3.60359139675394e+001
1.65958690743757e+002	-3.56361231794695e+001
1.73780082874938e+002	-3.52363525699974e+001
1.81970085860999e+002	-3.48366040847469e+001
1.90546071796326e+002	-3.44368798568150e+001
1.99526231496889e+002	-3.40371822248117e+001
2.08929613085405e+002	-3.36375137526295e+001
2.18776162394956e+002	-3.32378772511097e+001
2.29086765276778e+002	-3.28382758017839e+001
2.39883291901950e+002	-3.24387127828900e+001
2.51188643150959e+002	-3.20391918978784e+001
2.63026799189540e+002	-3.16397172066425e+001
2.75422870333818e+002	-3.12402931597356e+001
2.88403150312662e+002	-3.08409246358517e+001
3.01995172040203e+002	-3.04416169828815e+001
3.16227766016840e+002	-3.00423760628793e+001
3.31131121482593e+002	-2.96432083013061e+001
3.46736850452534e+002	-2.92441207409524e+001
3.63078054770104e+002	-2.88451211009740e+001
3.80189396320564e+002	-2.84462178415204e+001
3.98107170553500e+002	-2.80474202344701e+001
4.16869383470338e+002	-2.76487384408397e+001
4.36515832240169e+002	-2.72501835954793e+001
4.57088189614878e+002	-2.68517678997204e+001
4.78630092322641e+002	-2.64535047226987e+001
5.01187233627276e+002	-2.60554087121396e+001
5.24807460249776e+002	-2.56574959154519e+001
5.49540873857628e+002	-2.52597839120521e+001
5.75439937337161e+002	-2.48622919579110e+001
6.02559586074362e+002	-2.44650411433926e+001
6.30957344480198e+002	-2.40680545655398e+001
6.60693448007601e+002	-2.36713575160436e+001
6.91830970918941e+002	-2.32749776862233e+001
7.24435960074995e+002	-2.28789453904367e+001
7.58577575029189e+002	-2.24832938094327e+001
7.94328234724287e+002	-2.20880592552515e+001
8.31763771102677e+002	-2.16932814593729e+001
8.70963589956087e+002	-2.12990038859015e+001
9.12010839355917e+002	-2.09052740716663e+001
9.54992586021443e+002	-2.05121439951863e+001
1.00000000000001e+003	-2.01196704765213e+001
1.04712854805091e+003	-1.97279156100781e+001
1.09647819614319e+003	-1.93369472324691e+001
1.14815362149689e+003	-1.89468394275202e+001
1.20226443461742e+003	-1.85576730704924e+001
1.25892541179418e+003	-1.81695364134995e+001
1.31825673855642e+003	-1.77825257139694e+001
1.38038426460290e+003	-1.73967459077942e+001
1.44543977074594e+003	-1.70123113285272e+001
1.51356124843622e+003	-1.66293464736035e+001
1.58489319246113e+003	-1.62479868180548e+001
1.65958690743757e+003	-1.58683796755543e+001
1.73780082874939e+003	-1.54906851058228e+001
1.81970085861000e+003	-1.51150768664412e+001
1.90546071796326e+003	-1.47417434059152e+001
1.99526231496890e+003	-1.43708888933982e+001
2.08929613085406e+003	-1.40027342787699e+001
2.18776162394957e+003	-1.36375183747669e+001
2.29086765276779e+003	-1.32754989505447e+001
2.39883291901951e+003	-1.29169538233949e+001
2.51188643150960e+003	-1.25621819323445e+001
2.63026799189541e+003	-1.22115043740231e+001
2.75422870333819e+003	-1.18652653775219e+001
2.88403150312663e+003	-1.15238331910198e+001
3.01995172040204e+003	-1.11876008487917e+001
3.16227766016841e+003	-1.08569867829367e+001
3.31131121482594e+003	-1.05324352399139e+001
3.46736850452535e+003	-1.02144164579345e+001
3.63078054770105e+003	-9.90342655766787e+000
3.80189396320565e+003	-9.59998709586385e+000
3.98107170553501e+003	-9.30464422971117e+000
4.16869383470339e+003	-9.01796743942673e+000
4.36515832240170e+003	-8.74054775812121e+000
4.57088189614880e+003	-8.47299546183862e+000
4.78630092322643e+003	-8.21593717923867e+000
5.01187233627277e+003	-7.97001239003995e+000
5.24807460249778e+003	-7.73586929433309e+000
5.49540873857630e+003	-7.51416005131607e+000
5.75439937337163e+003	-7.30553540580712e+000
6.02559586074364e+003	-7.11063874370149e+000
6.30957344480200e+003	-6.93009964271000e+000
6.60693448007603e+003	-6.76452701128152e+000
6.91830970918944e+003	-6.61450193528841e+000
7.24435960074998e+003	-6.48057037729018e+000
7.58577575029192e+003	-6.36323589524604e+000
7.94328234724290e+003	-6.26295256461015e+000
8.31763771102680e+003	-6.18011829809316e+000
8.70963589956090e+003	-6.11506875954822e+000
9.12010839355919e+003	-6.06807206142016e+000
9.54992586021446e+003	-6.03932441855537e+000
1.00000000000001e+004	-6.02894690518350e+000
1.04712854805091e+004	-6.03698342756933e+000
1.09647819614320e+004	-6.06339998391744e+000
1.14815362149690e+004	-6.10808523789950e+000
1.20226443461743e+004	-6.17085238536046e+000
1.25892541179418e+004	-6.25144224818828e+000
1.31825673855642e+004	-6.34952748773113e+000
1.38038426460290e+004	-6.46471779488376e+000
1.44543977074594e+004	-6.59656588684730e+000
1.51356124843623e+004	-6.74457412270572e+000
1.58489319246113e+004	-6.90820154172871e+000
1.65958690743758e+004	-7.08687112936124e+000
1.73780082874940e+004	-7.27997712524342e+000
1.81970085861000e+004	-7.48689220390529e+000
1.90546071796327e+004	-7.70697438030196e+000
1.99526231496890e+004	-7.93957351728524e+000
2.08929613085406e+004	-8.18403733869330e+000
2.18776162394958e+004	-8.43971687839514e+000
2.29086765276780e+004	-8.70597132103628e+000
2.39883291901952e+004	-8.98217221338630e+000
2.51188643150961e+004	-9.26770704539918e+000
2.63026799189541e+004	-9.56198221697921e+000
