Freq.	V(out)/V(in)
1.00000000000000e+001	-6.00337519547663e+001
1.04712854805090e+001	-5.96337526082439e+001
1.09647819614319e+001	-5.92337533247677e+001
1.14815362149688e+001	-5.88337541104204e+001
1.20226443461741e+001	-5.84337549718714e+001
1.25892541179417e+001	-5.80337559164335e+001
1.31825673855641e+001	-5.76337569521252e+001
1.38038426460289e+001	-5.72337580877383e+001
1.44543977074593e+001	-5.68337593329132e+001
1.51356124843621e+001	-5.64337606982201e+001
1.58489319246111e+001	-5.60337621952491e+001
1.65958690743756e+001	-5.56337638367084e+001
1.73780082874938e+001	-5.52337656365323e+001
1.81970085860999e+001	-5.48337676099996e+001
1.90546071796325e+001	-5.44337697738628e+001
1.99526231496888e+001	-5.40337721464911e+001
2.08929613085404e+001	-5.36337747480254e+001
2.18776162394956e+001	-5.32337776005501e+001
2.29086765276778e+001	-5.28337807282800e+001
2.39883291901949e+001	-5.24337841577664e+001
2.51188643150958e+001	-5.20337879181216e+001
2.63026799189539e+001	-5.16337920412673e+001
2.75422870333817e+001	-5.12337965622041e+001
2.88403150312661e+001	-5.08338015193098e+001
3.01995172040202e+001	-5.04338069546647e+001
3.16227766016838e+001	-5.00338129144086e+001
3.31131121482592e+001	-4.96338194491328e+001
3.46736850452532e+001	-4.92338266143094e+001
3.63078054770102e+001	-4.88338344707619e+001
3.80189396320562e+001	-4.84338430851820e+001
3.98107170553498e+001	-4.80338525306954e+001
4.16869383470336e+001	-4.76338628874821e+001
4.36515832240167e+001	-4.72338742434577e+001
4.57088189614876e+001	-4.68338866950189e+001
4.78630092322639e+001	-4.64339003478624e+001
5.01187233627273e+001	-4.60339153178810e+001
5.24807460249774e+001	-4.56339317321481e+001
5.49540873857626e+001	-4.52339497299959e+001
5.75439937337158e+001	-4.48339694641975e+001
6.02559586074359e+001	-4.44339911022638e+001
6.30957344480195e+001	-4.40340148278653e+001
6.60693448007598e+001	-4.36340408423900e+001
6.91830970918938e+001	-4.32340693666529e+001
7.24435960074992e+001	-4.28341006427695e+001
7.58577575029186e+001	-4.24341349362105e+001
7.94328234724284e+001	-4.20341725380536e+001
8.31763771102674e+001	-4.16342137674537e+001
8.70963589956084e+001	-4.12342589743503e+001
9.12010839355913e+001	-4.08343085424362e+001
9.54992586021439e+001	-4.04343628924125e+001
1.00000000000000e+002	-4.00344224855565e+001
1.04712854805090e+002	-3.96344878276347e+001
1.09647819614319e+002	-3.92345594731919e+001
1.14815362149689e+002	-3.88346380302535e+001
1.20226443461742e+002	-3.84347241654815e+001
1.25892541179417e+002	-3.80348186098264e+001
1.31825673855641e+002	-3.76349221647234e+001
1.38038426460289e+002	-3.72350357088858e+001
1.44543977074593e+002	-3.68351602057515e+001
1.51356124843621e+002	-3.64352967116472e+001
1.58489319246112e+002	-3.60354463847368e+001
1.65958690743757e+002	-3.56356104948318e+001
1.73780082874938e+002	-3.52357904341446e+001
1.81970085860999e+002	-3.48359877290755e+001
1.90546071796326e+002	-3.44362040531326e+001
1.99526231496889e+002	-3.40364412410929e+001
2.08929613085405e+002	-3.36367013045234e+001
2.18776162394956e+002	-3.32369864487913e+001
2.29086765276778e+002	-3.28372990917072e+001
2.39883291901950e+002	-3.24376418839546e+001
2.51188643150959e+002	-3.20380177314781e+001
2.63026799189540e+002	-3.16384298200148e+001
2.75422870333818e+002	-3.12388816419741e+001
2.88403150312662e+002	-3.08393770258863e+001
3.01995172040203e+002	-3.04399201686660e+001
3.16227766016840e+002	-3.00405156709539e+001
3.31131121482593e+002	-2.96411685758284e+001
3.46736850452534e+002	-2.92418844112035e+001
3.63078054770104e+002	-2.88426692362605e+001
3.80189396320564e+002	-2.84435296922876e+001
3.98107170553500e+002	-2.80444730583428e+001
4.16869383470338e+002	-2.76455073121858e+001
4.36515832240169e+002	-2.72466411969678e+001
4.57088189614878e+002	-2.68478842942110e+001
4.78630092322641e+002	-2.64492471036555e+001
5.01187233627276e+002	-2.60507411305998e+001
5.24807460249776e+002	-2.56523789814194e+001
5.49540873857628e+002	-2.52541744679981e+001
