time	Vsh	Vpre
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-006	0.000000e+000	0.000000e+000
1.011300467482955e-006	-3.363909e-008	-1.922058e-006
1.022600934965910e-006	-1.727031e-008	1.769222e-005
1.033901402448865e-006	4.910635e-008	5.884284e-005
1.045201869931820e-006	1.654909e-007	1.215298e-004
1.056502337414775e-006	3.318833e-007	2.057531e-004
1.067802804897729e-006	5.482836e-007	3.115127e-004
1.079103272380684e-006	8.146917e-007	4.388087e-004
1.158829405173815e-006	5.744808e-006	1.797739e-003
1.234599454177601e-006	1.710226e-005	3.865620e-003
1.309101452021411e-006	3.930504e-005	6.777019e-003
1.389368336458523e-006	7.594833e-005	1.069714e-002
1.415870668120563e-006	9.228103e-005	1.220514e-002
1.446995336675921e-006	1.166502e-004	1.420163e-002
1.500000000000000e-006	1.638397e-004	1.782407e-002
1.537103264326855e-006	2.062118e-004	2.061348e-002
1.664314456304645e-006	4.041138e-004	3.026486e-002
1.764314456304644e-006	6.062422e-004	3.785134e-002
1.864314456304644e-006	8.515535e-004	4.543326e-002
1.964314456304644e-006	1.141186e-003	5.301050e-002
2.064314456304644e-006	1.474544e-003	6.058306e-002
2.164314456304644e-006	1.851040e-003	6.815093e-002
2.264314456304644e-006	2.270091e-003	7.571413e-002
2.364314456304644e-006	2.731120e-003	8.327264e-002
2.464314456304644e-006	3.233554e-003	9.082648e-002
2.564314456304644e-006	3.776830e-003	9.837566e-002
2.764314456304643e-006	4.983670e-003	1.134600e-001
2.964314456304643e-006	6.347226e-003	1.285257e-001
3.164314456304643e-006	7.863176e-003	1.435728e-001
3.364314456304643e-006	9.527282e-003	1.586012e-001
3.664314456304642e-006	1.229217e-002	1.811091e-001
3.964314456304642e-006	1.536743e-002	2.035753e-001
4.264314456304642e-006	1.873981e-002	2.259998e-001
4.583698105403979e-006	2.267776e-002	2.498271e-001
4.903081754503316e-006	2.688733e-002	2.736077e-001
5.222465403602653e-006	3.136852e-002	2.973417e-001
5.541849052701990e-006	3.612133e-002	3.210289e-001
5.861232701801327e-006	4.114577e-002	3.446695e-001
6.180616350900665e-006	4.644182e-002	3.682634e-001
6.500000000000000e-006	5.200949e-002	3.918107e-001
6.526128170786804e-006	5.247341e-002	3.936940e-001
