time	V
0.000000000000000e+000	0.000000e+000
1.000000000000000e-006	0.000000e+000
1.011300467482955e-006	-1.922058e-006
1.022600934965910e-006	1.769222e-005
1.033901402448865e-006	5.884284e-005
1.045201869931820e-006	1.215298e-004
1.056502337414775e-006	2.057531e-004
1.067802804897729e-006	3.115127e-004
1.079103272380684e-006	4.388087e-004
1.158829405173815e-006	1.797739e-003
1.234599454177601e-006	3.865620e-003
1.309101452021411e-006	6.777019e-003
1.389368336458523e-006	1.069714e-002
1.415870668120563e-006	1.220514e-002
1.446995336675921e-006	1.420163e-002
1.500000000000000e-006	1.782407e-002
1.537103264326855e-006	2.061348e-002
1.664314456304645e-006	3.026486e-002
1.764314456304644e-006	3.785134e-002
1.864314456304644e-006	4.543326e-002
1.964314456304644e-006	5.301050e-002
2.064314456304644e-006	6.058306e-002
2.164314456304644e-006	6.815093e-002
2.264314456304644e-006	7.571413e-002
2.364314456304644e-006	8.327264e-002
2.464314456304644e-006	9.082648e-002
2.564314456304644e-006	9.837566e-002
2.764314456304643e-006	1.134600e-001
2.964314456304643e-006	1.285257e-001
3.164314456304643e-006	1.435728e-001
3.364314456304643e-006	1.586012e-001
3.664314456304642e-006	1.811091e-001
3.964314456304642e-006	2.035753e-001
4.264314456304642e-006	2.259998e-001
4.583698105403979e-006	2.498271e-001
4.903081754503316e-006	2.736077e-001
5.222465403602653e-006	2.973417e-001
5.541849052701990e-006	3.210289e-001
5.861232701801327e-006	3.446695e-001
6.180616350900665e-006	3.682634e-001
6.500000000000000e-006	3.918107e-001
6.526128170786804e-006	3.936940e-001
6.552256341573609e-006	3.954720e-001
6.578384512360413e-006	3.971449e-001
6.604512683147216e-006	3.987125e-001
6.630640853934021e-006	4.001750e-001
6.656769024720825e-006	4.015322e-001
6.682897195507629e-006	4.027842e-001
6.900000000000001e-006	4.099845e-001
7.000000000000001e-006	4.107560e-001
7.046056073710680e-006	4.106694e-001
7.739289718398142e-006	4.089142e-001
8.432523363085605e-006	4.071659e-001
9.125757007773068e-006	4.054248e-001
9.818990652460529e-006	4.036906e-001
1.051222429714799e-005	4.019635e-001
1.120545794183546e-005	4.002435e-001
1.189869158652292e-005	3.985305e-001
1.261297730080863e-005	3.967738e-001
1.332726301509435e-005	3.950248e-001
1.404154872938006e-005	3.932834e-001
1.475583444366578e-005	3.915497e-001
1.547012015795149e-005	3.898236e-001
1.618440587223721e-005	3.881052e-001
1.689869158652292e-005	3.863945e-001
1.761297730080863e-005	3.846913e-001
1.832726301509434e-005	3.829955e-001
1.904154872938005e-005	3.813071e-001
1.975583444366575e-005	3.796262e-001
2.047012015795146e-005	3.779527e-001
2.118440587223717e-005	3.762866e-001
2.189869158652288e-005	3.746280e-001
2.281297730080858e-005	3.725157e-001
2.372726301509429e-005	3.704151e-001
2.464154872937999e-005	3.683262e-001
2.555583444366570e-005	3.662491e-001
2.647012015795141e-005	3.641838e-001
2.738440587223711e-005	3.621301e-001
2.829869158652281e-005	3.600883e-001
