time	V(out)
0.000000000000000e+000	0.000000e+000
5.851428548047419e-010	-1.777783e-009
1.170285709609484e-009	8.364316e-010
1.755428564414226e-009	7.842644e-009
2.340571419218967e-009	1.924085e-008
2.925714274023709e-009	3.503106e-008
3.510857128828451e-009	5.521327e-008
4.095999983633192e-009	7.978747e-008
8.191999967266384e-009	5.733714e-007
1.638399993453277e-008	3.654121e-006
3.136914400349692e-008	1.616830e-005
4.541864777873305e-008	3.866184e-005
6.564622855930731e-008	9.358820e-005
9.239980205020931e-008	2.133303e-004
1.459069490320133e-007	6.186716e-004
2.459069490320133e-007	1.807489e-003
3.459069490320133e-007	3.535495e-003
4.459069490320133e-007	5.867183e-003
5.459069490320132e-007	8.794902e-003
6.459069490320132e-007	1.231107e-002
7.459069490320132e-007	1.640818e-002
8.459069490320132e-007	2.101406e-002
9.000000000000000e-007	2.377719e-002
1.000000000000000e-006	2.924316e-002
1.030000000000000e-006	3.100273e-002
1.150000000000000e-006	3.800955e-002
1.450000000000000e-006	5.510036e-002
1.964285714285714e-006	8.268857e-002
2.478571428571428e-006	1.086583e-001
2.992857142857141e-006	1.330094e-001
3.507142857142855e-006	1.557421e-001
4.021428571428569e-006	1.768563e-001
4.535714285714283e-006	1.963519e-001
5.049999999999996e-006	2.142290e-001
5.821428571428570e-006	2.383502e-001
6.592857142857145e-006	2.601454e-001
7.364285714285718e-006	2.796147e-001
8.135714285714292e-006	2.967582e-001
8.907142857142868e-006	3.115757e-001
9.678571428571441e-006	3.240672e-001
1.045000000000001e-005	3.342329e-001
1.107857142857145e-005	3.414270e-001
1.170714285714288e-005	3.477150e-001
1.233571428571431e-005	3.530971e-001
1.296428571428575e-005	3.575733e-001
1.359285714285718e-005	3.611435e-001
1.422142857142862e-005	3.638077e-001
1.485000000000005e-005	3.655660e-001
1.540714285714290e-005	3.666013e-001
1.596428571428575e-005	3.672048e-001
1.652142857142860e-005	3.673765e-001
1.707857142857146e-005	3.671163e-001
1.763571428571431e-005	3.664242e-001
1.819285714285716e-005	3.653002e-001
1.875000000000002e-005	3.637444e-001
1.955000000000001e-005	3.608945e-001
2.035000000000000e-005	3.575839e-001
2.114999999999999e-005	3.538126e-001
2.194999999999999e-005	3.495806e-001
2.274999999999998e-005	3.448879e-001
2.354999999999997e-005	3.397345e-001
2.434999999999996e-005	3.341205e-001
2.547857142857139e-005	3.257163e-001
2.660714285714281e-005	3.170814e-001
2.773571428571424e-005	3.082157e-001
2.886428571428567e-005	2.991192e-001
2.999285714285709e-005	2.897919e-001
3.112142857142852e-005	2.802338e-001
3.224999999999994e-005	2.704449e-001
3.372142857142855e-005	2.577803e-001
3.519285714285716e-005	2.453736e-001
3.666428571428577e-005	2.332246e-001
3.813571428571438e-005	2.213334e-001
3.960714285714298e-005	2.097001e-001
4.107857142857159e-005	1.983246e-001
4.255000000000019e-005	1.872068e-001
4.403571428571451e-005	1.764947e-001
4.552142857142884e-005	1.662136e-001
4.700714285714316e-005	1.563633e-001
4.849285714285748e-005	1.469439e-001
4.997857142857181e-005	1.379554e-001
5.146428571428613e-005	1.293978e-001
5.295000000000045e-005	1.212711e-001
5.447857142857192e-005	1.133828e-001
5.600714285714338e-005	1.058924e-001
5.753571428571484e-005	9.879982e-002
5.906428571428631e-005	9.210505e-002
6.059285714285778e-005	8.580811e-002
6.212142857142924e-005	7.990898e-002
6.365000000000071e-005	7.440768e-002
6.525000000000075e-005	6.902219e-002
6.685000000000079e-005	6.394855e-002
6.845000000000082e-005	5.918677e-002
7.005000000000086e-005	5.473684e-002
7.165000000000090e-005	5.059876e-002
7.325000000000094e-005	4.677254e-002
7.485000000000098e-005	4.325817e-002
7.659285714285817e-005	3.971231e-002
7.833571428571535e-005	3.640024e-002
8.007857142857254e-005	3.332197e-002
8.182142857142972e-005	3.047749e-002
8.356428571428691e-005	2.786681e-002
8.530714285714410e-005	2.548993e-002
8.705000000000128e-005	2.334684e-002
8.890714285714417e-005	2.124826e-002
9.076428571428708e-005	1.930117e-002
9.262142857142998e-005	1.750557e-002
9.447857142857289e-005	1.586146e-002
9.633571428571579e-005	1.436884e-002
9.819285714285870e-005	1.302771e-002
1.000500000000016e-004	1.183808e-002
1.001500000000016e-004	1.177554e-002
1.021928571428588e-004	1.059055e-002
1.042357142857160e-004	9.500256e-003
1.062785714285732e-004	8.504652e-003
1.083214285714304e-004	7.603741e-003
1.103642857142876e-004	6.797523e-003
1.124071428571448e-004	6.085997e-003
1.144500000000019e-004	5.469165e-003
1.167071428571449e-004	4.854644e-003
1.189642857142878e-004	4.294112e-003
1.212214285714307e-004	3.787568e-003
1.234785714285736e-004	3.335013e-003
1.257357142857165e-004	2.936446e-003
1.279928571428594e-004	2.591868e-003
1.302500000000023e-004	2.301278e-003
1.330071428571453e-004	1.987990e-003
1.357642857142882e-004	1.706860e-003
1.385214285714311e-004	1.457886e-003
