Freq.	V(out)/V(in)
1.00000000000000e+001	(-6.00337557324502e+001dB,8.98741809980787e+001°)
1.04712854805090e+001	(-5.96337567503915e+001dB,8.98682513364324e+001°)
1.09647819614319e+001	(-5.92337578665418e+001dB,8.98620422192173e+001°)
1.14815362149688e+001	(-5.88337590903761e+001dB,8.98555404762130e+001°)
1.20226443461741e+001	(-5.84337604322836e+001dB,8.98487323165228e+001°)
1.25892541179417e+001	(-5.80337619036556e+001dB,8.98416032993247e+001°)
1.31825673855641e+001	(-5.76337635169826e+001dB,8.98341383032438e+001°)
1.38038426460289e+001	(-5.72337652859601e+001dB,8.98263214942829e+001°)
1.44543977074593e+001	(-5.68337672256050e+001dB,8.98181362922409e+001°)
1.51356124843621e+001	(-5.64337693523828e+001dB,8.98095653355496e+001°)
1.58489319246111e+001	(-5.60337716843477e+001dB,8.98005904444547e+001°)
1.65958690743756e+001	(-5.56337742412956e+001dB,8.97911925824610e+001°)
1.73780082874938e+001	(-5.52337770449323e+001dB,8.97813518159622e+001°)
1.81970085860999e+001	(-5.48337801190577e+001dB,8.97710472719693e+001°)
1.90546071796325e+001	(-5.44337834897680e+001dB,8.97602570938472e+001°)
1.99526231496888e+001	(-5.40337871856767e+001dB,8.97489583949671e+001°)
2.08929613085404e+001	(-5.36337912381581e+001dB,8.97371272101759e+001°)
2.18776162394956e+001	(-5.32337956816135e+001dB,8.97247384449803e+001°)
2.29086765276778e+001	(-5.28338005537627e+001dB,8.97117658223373e+001°)
2.39883291901949e+001	(-5.24338058959647e+001dB,8.96981818269404e+001°)
2.51188643150958e+001	(-5.20338117535690e+001dB,8.96839576468818e+001°)
2.63026799189539e+001	(-5.16338181762996e+001dB,8.96690631125684e+001°)
2.75422870333817e+001	(-5.12338252186780e+001dB,8.96534666327624e+001°)
2.88403150312661e+001	(-5.08338329404856e+001dB,8.96371351276119e+001°)
3.01995172040202e+001	(-5.04338414072711e+001dB,8.96200339585290e+001°)
3.16227766016838e+001	(-5.00338506909071e+001dB,8.96021268547691e+001°)
3.31131121482592e+001	(-4.96338608701996e+001dB,8.95833758365554e+001°)
3.46736850452532e+001	(-4.92338720315578e+001dB,8.95637411345875e+001°)
3.63078054770102e+001	(-4.88338842697267e+001dB,8.95431811057641e+001°)
3.80189396320562e+001	(-4.84338976885915e+001dB,8.95216521449429e+001°)
3.98107170553498e+001	(-4.80339124020596e+001dB,8.94991085925522e+001°)
4.16869383470336e+001	(-4.76339285350269e+001dB,8.94755026378602e+001°)
4.36515832240167e+001	(-4.72339462244383e+001dB,8.94507842176985e+001°)
4.57088189614876e+001	(-4.68339656204493e+001dB,8.94249009104296e+001°)
4.78630092322639e+001	(-4.64339868877010e+001dB,8.93977978249330e+001°)
5.01187233627273e+001	(-4.60340102067170e+001dB,8.93694174843821e+001°)
5.24807460249774e+001	(-4.56340357754352e+001dB,8.93396997045654e+001°)
5.49540873857626e+001	(-4.52340638108877e+001dB,8.93085814665013e+001°)
5.75439937337158e+001	(-4.48340945510427e+001dB,8.92759967830802e+001°)
6.02559586074359e+001	(-4.44341282568232e+001dB,8.92418765594568e+001°)
6.30957344480195e+001	(-4.40341652143211e+001dB,8.92061484469047e+001°)
6.60693448007598e+001	(-4.36342057372250e+001dB,8.91687366898296e+001°)
6.91830970918938e+001	(-4.32342501694810e+001dB,8.91295619656267e+001°)
7.24435960074992e+001	(-4.28342988882109e+001dB,8.90885412170525e+001°)
7.58577575029186e+001	(-4.24343523069114e+001dB,8.90455874767682e+001°)
7.94328234724284e+001	(-4.20344108789615e+001dB,8.90006096836951e+001°)
8.31763771102674e+001	(-4.16344751014681e+001dB,8.89535124908088e+001°)
8.70963589956084e+001	(-4.12345455194822e+001dB,8.89041960639831e+001°)
9.12010839355913e+001	(-4.08346227306212e+001dB,8.88525558714769e+001°)
9.54992586021439e+001	(-4.04347073901362e+001dB,8.87984824636411e+001°)
1.00000000000000e+002	(-4.00348002164683e+001dB,8.87418612424077e+001°)
1.04712854805090e+002	(-3.96349019973391e+001dB,8.86825722201003e+001°)
1.09647819614319e+002	(-3.92350135964279e+001dB,8.86204897670932e+001°)
1.14815362149689e+002	(-3.88351359606922e+001dB,8.85554823478245e+001°)
1.20226443461742e+002	(-3.84352701283923e+001dB,8.84874122446495e+001°)
1.25892541179417e+002	(-3.80354172378883e+001dB,8.84161352690050e+001°)
1.31825673855641e+002	(-3.76355785372834e+001dB,8.83415004593334e+001°)
1.38038426460289e+002	(-3.72357553949950e+001dB,8.82633497651978e+001°)
1.44543977074593e+002	(-3.68359493113420e+001dB,8.81815177170008e+001°)
1.51356124843621e+002	(-3.64361619312457e+001dB,8.80958310807005e+001°)
1.58489319246112e+002	(-3.60363950581517e+001dB,8.80061084969004e+001°)
1.65958690743757e+002	(-3.56366506692886e+001dB,8.79121601036726e+001°)
1.73780082874938e+002	(-3.52369309323915e+001dB,8.78137871424559e+001°)
1.81970085860999e+002	(-3.48372382240312e+001dB,8.77107815463579e+001°)
1.90546071796326e+002	(-3.44375751497004e+001dB,8.76029255101768e+001°)
1.99526231496889e+002	(-3.40379445658261e+001dB,8.74899910414445e+001°)
2.08929613085405e+002	(-3.36383496038906e+001dB,8.73717394917891e+001°)
2.18776162394956e+002	(-3.32387936968619e+001dB,8.72479210679050e+001°)
2.29086765276778e+002	(-3.28392806081520e+001dB,8.71182743214202e+001°)
2.39883291901950e+002	(-3.24398144633439e+001dB,8.69825256169523e+001°)
2.51188643150959e+002	(-3.20403997849480e+001dB,8.68403885776539e+001°)
2.63026799189540e+002	(-3.16410415304746e+001dB,8.66915635075621e+001°)
2.75422870333818e+002	(-3.12417451341348e+001dB,8.65357367900916e+001°)
2.88403150312662e+002	(-3.08425165525105e+001dB,8.63725802620408e+001°)
3.01995172040203e+002	(-3.04433623145660e+001dB,8.62017505625235e+001°)
3.16227766016840e+002	(-3.00442895764069e+001dB,8.60228884562941e+001°)
3.31131121482593e+002	(-2.96453061812281e+001dB,8.58356181310037e+001°)
3.46736850452534e+002	(-2.92464207249347e+001dB,8.56395464680088e+001°)
3.63078054770104e+002	(-2.88476426279571e+001dB,8.54342622864631e+001°)
3.80189396320564e+002	(-2.84489822138354e+001dB,8.52193355605478e+001°)
3.98107170553500e+002	(-2.80504507951889e+001dB,8.49943166098535e+001°)
4.16869383470338e+002	(-2.76520607677484e+001dB,8.47587352631076e+001°)
4.36515832240169e+002	(-2.72538257131804e+001dB,8.45120999956626e+001°)
4.57088189614878e+002	(-2.68557605114951e+001dB,8.42538970414187e+001°)
4.78630092322641e+002	(-2.64578814638976e+001dB,8.39835894801563e+001°)
5.01187233627276e+002	(-2.60602064270077e+001dB,8.37006163016119e+001°)
5.24807460249776e+002	(-2.56627549594494e+001dB,8.34043914480447e+001°)
5.49540873857628e+002	(-2.52655484818887e+001dB,8.30943028375231e+001°)
5.75439937337161e+002	(-2.48686104516777e+001dB,8.27697113707212e+001°)
6.02559586074362e+002	(-2.44719665533508e+001dB,8.24299499246588e+001°)
6.30957344480198e+002	(-2.40756449063023e+001dB,8.20743223375643e+001°)
6.60693448007601e+002	(-2.36796762910695e+001dB,8.17021023898936e+001°)
6.91830970918941e+002	(-2.32840943957310e+001dB,8.13125327875185e+001°)
7.24435960074995e+002	(-2.28889360840256e+001dB,8.09048241542168e+001°)
7.58577575029189e+002	(-2.24942416868842e+001dB,8.04781540418703e+001°)
7.94328234724287e+002	(-2.21000553191531e+001dB,8.00316659682294e+001°)
8.31763771102677e+002	(-2.17064252233676e+001dB,7.95644684937418e+001°)
8.70963589956087e+002	(-2.13134041425043e+001dB,7.90756343507972e+001°)
9.12010839355917e+002	(-2.09210497236980e+001dB,7.85641996408304e+001°)
9.54992586021443e+002	(-2.05294249549479e+001dB,7.80291631170633e+001°)
1.00000000000001e+003	(-2.01385986368532e+001dB,7.74694855732852e+001°)
1.04712854805091e+003	(-1.97486458914045e+001dB,7.68840893619818e+001°)
1.09647819614319e+003	(-1.93596487098025e+001dB,7.62718580683463e+001°)
1.14815362149689e+003	(-1.89716965411754e+001dB,7.56316363702611e+001°)
1.20226443461742e+003	(-1.85848869239068e+001dB,7.49622301182245e+001°)
1.25892541179418e+003	(-1.81993261610533e+001dB,7.42624066734318e+001°)
1.31825673855642e+003	(-1.78151300410142e+001dB,7.35308955467830e+001°)
